dia;parte;med
6;peso;8,30
6;peso;10,55
7;peso;10,25
14;peso;12,60
14;peso;13,95
16;peso;15,70
16;peso;16,40
5;peso;5,90
5;peso;7,10
6;peso;7,42
6;peso;10,02
7;peso;8,23
7;peso;10,13
8;peso;8,25
8;peso;10,79
5;peso;5,15
5;peso;5,87
6;peso;6,56
6;peso;6,55
7;peso;8,57
7;peso;9,87
8;peso;10,76
8;peso;9,55
9;peso;11,15
9;peso;12,07
10;peso;NA
10;peso;NA
11;peso;12,37
11;peso;15,60
12;peso;12,49
12;peso;11,91
4;peso;4,20
4;peso;4,30
6;peso;6,50
6;peso;6,77
1;peso;3,10
1;peso;2,95
2;peso;4,00
2;peso;3,45
4;peso;6,59
4;peso;5,59
6;peso;7,30
6;peso;8,60
7;peso;8,20
7;peso;10,75
4;peso;5,99
7;peso;10,00
8;peso;11,61
9;peso;12,33
1;peso;2,81
1;peso;3,24
2;peso;5,31
2;peso;5,77
3;peso;6,42
3;peso;7,02
4;peso;7,76
4;peso;8,51
5;peso;10,00
5;peso;10,66
6;peso;9,41
6;peso;10,75
1;peso;3,28
1;peso;3,41
3;peso;8,21
3;peso;9,03
5;peso;8,21
5;peso;9,03
7;peso;10,49
7;peso;11,89
9;peso;11,86
9;peso;13,50
11;peso;12,40
11;peso;13,85
5;peso;5,34
6;peso;7,26
8;peso;11,15
10;peso;12,83
12;peso;14,11
15;peso;15,25
6;peso;7,85
6;peso;7,45
2;peso;4,25
2;peso;2,05
5;peso;6,45
5;peso;4,75
8;peso;8,60
8;peso;6,50
9;peso;11,50
9;peso;9,20
10;peso;11,35
10;peso;9,50
9;peso;12,16
9;peso;11,61
10;peso;NA
10;peso;NA
11;peso;12,91
11;peso;12,94
12;peso;13,02
12;peso;12,2
1;peso;2,41
1;peso;2,49
2;peso;4,08
2;peso;3,46
3;peso;4,53
3;peso;3,74
5;peso;8,66
6;peso;10,1
8;peso;12,36
12;peso;15,59
5;peso;7,21
5;peso;7,56
8;peso;10,66
8;peso;10,42
